sample_nb,density,max_cycle,avgcycle,nb_attractor,nb_fixed_point,mxc_inhib,avgc_inhib,mxc_exct,avgc_exct,mxc_all,avgc_all,totalInhibition,totalExcitation,totalAutoInhibition,totalAutoExcitation,
0,0.400,4,2.000,3,2,1,1.000,3,2.000,4,2.333,4,6,1,1,
1,0.280,1,1.000,1,1,1,1.000,0,0.000,1,1.000,4,3,2,0,
2,0.960,1,1.000,1,1,4,2.300,2,1.333,5,3.562,14,10,3,2,
3,0.520,4,2.500,2,1,0,0.000,3,2.250,5,3.333,4,9,0,1,
4,0.480,1,1.000,2,2,2,1.500,1,1.000,3,1.714,8,4,1,2,
5,0.720,2,1.333,3,2,2,1.500,2,1.500,5,2.913,10,8,2,2,
6,0.560,1,1.000,3,3,1,1.000,3,1.500,4,2.000,6,8,1,3,
7,0.360,2,1.333,3,2,0,0.000,2,2.000,5,3.167,5,4,0,0,
8,0.840,2,1.500,2,1,3,1.333,4,2.833,5,3.286,11,10,5,0,
9,0.760,1,1.000,2,2,4,2.571,2,1.333,5,3.361,10,9,1,2,
10,0.400,1,1.000,1,1,2,1.333,0,0.000,4,2.500,5,5,2,0,
11,0.920,2,1.500,4,2,5,2.941,3,1.600,5,3.484,14,9,2,3,
12,0.320,1,1.000,12,12,0,0.000,1,1.000,1,1.000,2,6,0,4,
13,0.560,1,1.000,4,4,1,1.000,2,1.333,3,1.778,5,9,2,2,
14,0.880,2,1.500,2,1,4,2.333,2,1.400,5,3.273,12,10,2,3,
15,0.520,1,1.000,1,1,3,1.750,1,1.000,4,2.000,8,5,2,1,
16,0.320,2,1.333,3,2,2,2.000,2,2.000,2,2.000,5,3,0,0,
17,0.800,2,1.500,2,1,1,1.000,4,2.667,5,3.229,9,11,3,1,
18,0.280,1,1.000,1,1,1,1.000,0,0.000,4,2.500,4,3,1,0,
19,0.600,1,1.000,2,2,2,1.333,1,1.000,5,2.733,7,8,2,1,
