file_name,n,k,topology,linkage,id,ratio_sym,
randomnet_9_1.33_homogeneous_uniform_2_.bnet,9,1.33,homogeneous,uniform,2,0.4444444444444444,
randomnet_26_1.62_homogeneous_uniform_2_.bnet,26,1.62,homogeneous,uniform,2,0.5649912907527044,
randomnet_53_2.04_homogeneous_uniform_1_.bnet,53,2.04,homogeneous,uniform,1,0.6129873023842866,
randomnet_10_2.6_homogeneous_uniform_1_.bnet,10,2.6,homogeneous,uniform,1,0.525,
randomnet_10_1.4_homogeneous_uniform_2_.bnet,10,1.4,homogeneous,uniform,2,0.7,
randomnet_18_2.67_homogeneous_uniform_1_.bnet,18,2.67,homogeneous,uniform,1,0.695145501030816,
randomnet_15_2.47_homogeneous_uniform_2_.bnet,15,2.47,homogeneous,uniform,2,0.6583333333333333,
randomnet_42_1.64_homogeneous_uniform_2_.bnet,42,1.64,homogeneous,uniform,2,0.5749391828264508,
randomnet_16_2.19_homogeneous_uniform_1_.bnet,16,2.19,homogeneous,uniform,1,0.59765625,
randomnet_6_1.83_homogeneous_uniform_2_.bnet,6,1.83,homogeneous,uniform,2,0.5208333333333334,
randomnet_56_4.52_homogeneous_uniform_1_.bnet,56,4.52,homogeneous,uniform,1,0.4492051260811942,
randomnet_17_4.82_homogeneous_uniform_2_.bnet,17,4.82,homogeneous,uniform,2,0.5370267980238971,
randomnet_10_2.7_homogeneous_uniform_2_.bnet,10,2.7,homogeneous,uniform,2,0.63125,
randomnet_10_2.8_homogeneous_uniform_2_.bnet,10,2.8,homogeneous,uniform,2,0.58125,
randomnet_24_2.88_homogeneous_uniform_2_.bnet,24,2.88,homogeneous,uniform,2,0.7278531392415365,
randomnet_23_1.43_homogeneous_uniform_2_.bnet,23,1.43,homogeneous,uniform,2,0.3621978759765625,
randomnet_34_2.88_homogeneous_uniform_1_.bnet,34,2.88,homogeneous,uniform,1,0.5256037992589614,
randomnet_7_3_homogeneous_uniform_1_.bnet,7,3,homogeneous,uniform,1,0.44642857142857145,
