n,density,max_cycle,nb_sym,nb_sym_transcient,nb_sym_cycle,ratio_sym,ratio_sym_transcient,ratio_sym_cycle,mat,
0,0.224,1,0,0,0,0.35714285714285715,0.3617511520737327,0.21428571428571425,"[0.0; 1.0; 0.0; 0.0; 0.0; 0.0; -1.0; 0.0; -1.0; 0.0; -1.0; 0.0; 0.0; 0.0; 0.0; 0.0; -1.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; -1.0; 0.0; -1.0; 0.0; 0.0; 0.0; 1.0; 0.0; 0.0; 0.0; 0.0; -1.0; 0.0; 0.0; 1.0; 0.0; 1.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0]",
1,0.469,1,0,0,0,0.5267857142857145,0.5245714285714288,0.6190476190476191,"[1.0; 0.0; 0.0; 0.0; 0.0; 0.0; -1.0; 1.0; 0.0; 1.0; -1.0; 0.0; 0.0; -1.0; 1.0; 1.0; 1.0; -1.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; -1.0; 0.0; -1.0; -1.0; 0.0; 0.0; 0.0; 0.0; 0.0; 1.0; 0.0; -1.0; 0.0; 0.0; 0.0; 0.0; 0.0; 1.0; -1.0; -1.0; -1.0; 1.0; -1.0; 1.0; -1.0]",
2,0.449,1,0,0,0,0.589285714285714,0.5888501742160276,0.5999999999999999,"[1.0; 0.0; 1.0; 0.0; 1.0; -1.0; -1.0; 0.0; 1.0; 0.0; 0.0; -1.0; 1.0; 0.0; -1.0; -1.0; 0.0; -1.0; 0.0; 0.0; 0.0; 1.0; 0.0; 1.0; 0.0; 0.0; 1.0; 1.0; 1.0; 0.0; 0.0; 0.0; 0.0; -1.0; 0.0; -1.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; -1.0; 0.0; -1.0; -1.0; 1.0]",
3,0.286,1,0,0,0,0.4107142857142859,0.41496598639455806,0.14285714285714285,"[1.0; 0.0; 0.0; 0.0; 0.0; 0.0; -1.0; 1.0; -1.0; 1.0; 0.0; 0.0; 0.0; 1.0; 0.0; 0.0; 0.0; 0.0; -1.0; 0.0; 0.0; -1.0; 0.0; 0.0; 0.0; 0.0; 1.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; -1.0; -1.0; 0.0; -1.0; 0.0; 0.0; -1.0; 0.0; 0.0; 0.0; 0.0; 1.0; 0.0; 0.0; 0.0]",
4,0.959,2,0,0,0,0.5312500000000001,0.5322580645161291,0.49999999999999994,"[1.0; -1.0; 1.0; -1.0; 1.0; -1.0; -1.0; 1.0; 1.0; 1.0; 0.0; 1.0; 1.0; 1.0; 1.0; 0.0; -1.0; -1.0; -1.0; 1.0; 1.0; -1.0; 1.0; 1.0; -1.0; -1.0; -1.0; 1.0; -1.0; 1.0; -1.0; -1.0; -1.0; -1.0; 1.0; -1.0; -1.0; -1.0; -1.0; 1.0; 1.0; 1.0; -1.0; 1.0; 1.0; -1.0; 1.0; -1.0; 1.0]",
5,0.592,1,0,0,0,0.3660714285714285,0.36507936507936495,0.42857142857142855,"[0.0; -1.0; -1.0; 0.0; 1.0; -1.0; -1.0; -1.0; 0.0; 1.0; 0.0; 0.0; -1.0; 1.0; -1.0; -1.0; 1.0; 1.0; 1.0; 0.0; 1.0; 1.0; 0.0; -1.0; 1.0; -1.0; 0.0; -1.0; 0.0; -1.0; 0.0; -1.0; 0.0; 0.0; 0.0; 0.0; 1.0; 0.0; 1.0; 1.0; 0.0; 1.0; -1.0; 0.0; 0.0; 1.0; 0.0; 0.0; 1.0]",
6,0.959,2,0,0,0,0.4263392857142858,0.42400000000000004,0.5238095238095238,"[-1.0; 1.0; 1.0; -1.0; -1.0; 1.0; 1.0; 1.0; 1.0; 1.0; -1.0; 1.0; 0.0; 1.0; 1.0; -1.0; -1.0; -1.0; -1.0; 1.0; -1.0; -1.0; -1.0; -1.0; -1.0; -1.0; -1.0; 1.0; 1.0; 1.0; -1.0; 1.0; -1.0; -1.0; -1.0; 1.0; -1.0; -1.0; -1.0; -1.0; 1.0; 0.0; 1.0; -1.0; 1.0; 1.0; 1.0; 1.0; 1.0]",
7,0.429,2,0,0,0,0.4107142857142858,0.41086186540732006,0.4081632653061224,"[0.0; 0.0; -1.0; 0.0; -1.0; 0.0; 0.0; -1.0; 0.0; -1.0; 0.0; -1.0; 0.0; 1.0; -1.0; -1.0; -1.0; 0.0; 0.0; 1.0; -1.0; 0.0; 0.0; 1.0; -1.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 1.0; 1.0; 0.0; 0.0; 1.0; 1.0; -1.0; 0.0; 0.0; 0.0; -1.0; 1.0; 0.0; 1.0; 0.0; 0.0; 0.0]",
8,0.633,3,0,0,0,0.41964285714285704,0.41686182669789223,0.4761904761904761,"[0.0; -1.0; 1.0; 0.0; -1.0; 1.0; 1.0; -1.0; 1.0; 0.0; 1.0; 0.0; 1.0; 1.0; 0.0; 0.0; 1.0; 0.0; 0.0; -1.0; -1.0; -1.0; -1.0; 1.0; 0.0; 0.0; 1.0; -1.0; -1.0; 1.0; 0.0; 1.0; -1.0; 0.0; 0.0; -1.0; 1.0; -1.0; -1.0; 0.0; 0.0; 0.0; -1.0; -1.0; 1.0; -1.0; -1.0; 0.0; 0.0]",
9,0.592,1,0,0,0,0.18303571428571402,0.18253968253968228,0.21428571428571427,"[0.0; 1.0; 1.0; 0.0; 0.0; 0.0; 1.0; 1.0; 0.0; -1.0; -1.0; 0.0; -1.0; 1.0; 0.0; 0.0; 0.0; 1.0; 0.0; 0.0; 1.0; -1.0; 1.0; 0.0; -1.0; 0.0; -1.0; 1.0; -1.0; -1.0; 0.0; -1.0; 1.0; 0.0; 1.0; -1.0; -1.0; 0.0; 0.0; -1.0; 0.0; 0.0; -1.0; -1.0; 0.0; -1.0; -1.0; -1.0; 1.0]",
